"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source"
"Filice R.W.; Kahn C.E., Jr.","Filice, Ross W. (22979170300); Kahn, Charles E. (57001222100)","22979170300; 57001222100","Biomedical Ontologies to Guide AI Development in Radiology","2021","Journal of Digital Imaging","4","10.1007/s10278-021-00527-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118406974&doi=10.1007%2fs10278-021-00527-1&partnerID=40&md5=bf081cc84a4a0816d41da71fc1d1eedf","The advent of deep learning has engendered renewed and rapidly growing interest in artificial intelligence (AI) in radiology to analyze images, manipulate textual reports, and plan interventions. Applications of deep learning and other AI approaches must be guided by sound medical knowledge to assure that they are developed successfully and that they address important problems in biomedical research or patient care. To date, AI has been applied to a limited number of real-world radiology applications. As AI systems become more pervasive and are applied more broadly, they will benefit from medical knowledge on a larger scale, such as that available through computer-based approaches. A key approach to represent computer-based knowledge in a particular domain is an ontology. As defined in informatics, an ontology defines a domain’s terms through their relationships with other terms in the ontology. Those relationships, then, define the terms’ semantics, or “meaning.” Biomedical ontologies commonly define the relationships between terms and more general terms, and can express causal, part-whole, and anatomic relationships. Ontologies express knowledge in a form that is both human-readable and machine-computable. Some ontologies, such as RSNA’s RadLex radiology lexicon, have been applied to applications in clinical practice and research, and may be familiar to many radiologists. This article describes how ontologies can support research and guide emerging applications of AI in radiology, including natural language processing, image–based machine learning, radiomics, and planning. © 2021, The Author(s) under exclusive licence to Society for Imaging Informatics in Medicine.","Artificial intelligence; Controlled vocabulary; Knowledge representation; Ontology; Terminology","Artificial Intelligence; Biological Ontologies; Humans; Natural Language Processing; Radiography; Radiology; Clinical research; Deep learning; Learning algorithms; Medical imaging; Medical problems; Natural language processing systems; Ontology; Radiation; Radiology; Semantics; Artificial intelligence systems; Biomedical ontologies; Biomedical research; Computer-based approach; Knowledge-representation; Large-scales; Medical knowledge; Ontology's; Patient care; Real-world; artificial intelligence; biological ontology; human; natural language processing; radiography; radiology; Knowledge representation","Review","Scopus"
"Waller J.; O’connor A.; Rafaat E.; Amireh A.; Dempsey J.; Martin C.; Umair M.","Waller, Joseph (57219171651); O’connor, Aisling (57464318500); Rafaat, Eleeza (57464269200); Amireh, Ahmad (57224467262); Dempsey, John (57464117000); Martin, Clarissa (57198807225); Umair, Muhammad (57222747674)","57219171651; 57464318500; 57464269200; 57224467262; 57464117000; 57198807225; 57222747674","Applications and challenges of artificial intelligence in diagnostic and interventional radiology","2022","Polish Journal of Radiology","6","10.5114/pjr.2022.113531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125135083&doi=10.5114%2fpjr.2022.113531&partnerID=40&md5=ab0ebc2e3f734315abac0dc3e83f6d52","Purpose: Machine learning (ML) and deep learning (DL) can be utilized in radiology to help diagnosis and for predicting management and outcomes based on certain image findings. DL utilizes convolutional neural networks (CNN) and may be used to classify imaging features. The objective of this literature review is to summarize recent publications highlighting the key ways in which ML and DL may be applied in radiology, along with solutions to the problems that this implementation may face. Material and methods: Twenty-one publications were selected from the primary literature through a PubMed search. The articles included in our review studied a range of applications of artificial intelligence in radiology. Results: The implementation of artificial intelligence in diagnostic and interventional radiology may improve image analysis, aid in diagnosis, as well as suggest appropriate interventions, clinical predictive modelling, and trainee education. Potential challenges include ethical concerns and the need for appropriate datasets with accurate labels and large sample sizes to train from. Additionally, the training data should be representative of the population to which the future ML platform will be applicable. Finally, machines do not disclose a statistical rationale when expounding on the task purpose, making them difficult to apply in medical imaging. Conclusions: As radiologists report increased workload, utilization of artificial intelligence may provide improved outcomes in medical imaging by assisting, rather than guiding or replacing, radiologists. Further research should be done on the risks of AI implementation and how to most accurately validate the results. © Pol J Radiol 2022.","Artificial intelligence; Imaging; Machine learning; Radiology","artificial intelligence; climate model; deep learning; diagnostic imaging; education; human; human experiment; image analysis; interventional radiology; machine learning; Medline; radiologist; review; sample size; systematic review; workload","Review","Scopus"
"Sorantin E.; Grasser M.G.; Hemmelmayr A.; Tschauner S.; Hrzic F.; Weiss V.; Lacekova J.; Holzinger A.","Sorantin, Erich (55063027700); Grasser, Michael G. (57213616249); Hemmelmayr, Ariane (57297649600); Tschauner, Sebastian (56183931400); Hrzic, Franko (57193576531); Weiss, Veronika (57297857900); Lacekova, Jana (57210826444); Holzinger, Andreas (23396282000)","55063027700; 57213616249; 57297649600; 56183931400; 57193576531; 57297857900; 57210826444; 23396282000","The augmented radiologist: artificial intelligence in the practice of radiology","2022","Pediatric Radiology","14","10.1007/s00247-021-05177-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117212071&doi=10.1007%2fs00247-021-05177-7&partnerID=40&md5=859c4faa99aa365483f13b522b5b3496","In medicine, particularly in radiology, there are great expectations in artificial intelligence (AI), which can “see” more than human radiologists in regard to, for example, tumor size, shape, morphology, texture and kinetics — thus enabling better care by earlier detection or more precise reports. Another point is that AI can handle large data sets in high-dimensional spaces. But it should not be forgotten that AI is only as good as the training samples available, which should ideally be numerous enough to cover all variants. On the other hand, the main feature of human intelligence is content knowledge and the ability to find near-optimal solutions. The purpose of this paper is to review the current complexity of radiology working places, to describe their advantages and shortcomings. Further, we give an AI overview of the different types and features as used so far. We also touch on the differences between AI and human intelligence in problem-solving. We present a new AI type, labeled “explainable AI,” which should enable a balance/cooperation between AI and human intelligence — thus bringing both worlds in compliance with legal requirements. For support of (pediatric) radiologists, we propose the creation of an AI assistant that augments radiologists and keeps their brain free for generic tasks. © 2021, The Author(s).","Artificial intelligence; Clinical decision-making; Deep learning; Pediatric radiology; Radiomics","Artificial Intelligence; Child; Humans; Radiography; Radiologists; Radiology; artificial intelligence; brain; child; clinical decision making; deep learning; human; pediatric radiologist; problem solving; radiology; radiomics; review; touch; procedures; radiography; radiologist","Review","Scopus"
"Jalal S.; Parker W.; Ferguson D.; Nicolaou S.","Jalal, Sabeena (36150834100); Parker, William (57214454610); Ferguson, Duncan (57216493246); Nicolaou, Savvas (57203005806)","36150834100; 57214454610; 57216493246; 57203005806","Exploring the Role of Artificial Intelligence in an Emergency and Trauma Radiology Department","2021","Canadian Association of Radiologists Journal","23","10.1177/0846537120918338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083657603&doi=10.1177%2f0846537120918338&partnerID=40&md5=6c48e9b134f3d96b56ba74926f99e487","Emergency and trauma radiologists, emergency department’s physicians and nurses, researchers, departmental leaders, and health policymakers have attempted to discover efficient approaches to enhance the provision of quality patient care. There are increasing expectations for radiology practices to deliver a dedicated emergency radiology service providing 24/7/365 on-site attending radiologist coverage. Emergency radiologists (ERs) are pressed to meet the demand of increased imaging volume, provide accurate reports, maintain a lower proportion of discrepancy rate, and with a rapid report turnaround time of finalized reports. Thus, rendering the radiologists overburdened. The demand for an increased efficiency in providing quality care to acute patients has led to the emergence of artificial intelligence (AI) in the field. AI can be used to assist emergency and trauma radiologists deal with the ever-increasing imaging volume and workload, as AI methods have typically demonstrated a variety of applications in medical image analysis and interpretation, albeit most programs are in a training or validation phase. This article aims to offer an evidence-based discourse about the evolving role of artificial intelligence in assisting the imaging pathway in an emergency and trauma radiology department. We hope to generate a multidisciplinary discourse that addresses the technical processes, the challenges in the labour-intensive process of training, validation and testing of an algorithm, the need for emphasis on ethics, and how an emergency radiologist’s role is pivotal in the execution of AI-guided systems within the context of an emergency and trauma radiology department. This exploratory narrative serves the present-day health leadership’s information needs by proposing an AI supported and radiologist centered framework depicting the work flow within a department. It is suspected that the use of such a framework, if efficacious, could provide considerable benefits for patient safety and quality of care provided. Additionally, alleviating radiologist burnout and decreasing healthcare costs over time. © The Author(s) 2020.","AI; artificial intelligence; deep learning; emergency and trauma radiology; emergency radiology; radiography; radiology","Artificial Intelligence; Emergency Service, Hospital; Humans; Image Interpretation, Computer-Assisted; Radiology; Trauma Centers; artificial intelligence; clinical decision support system; clinical protocol; evidence based practice; health care cost; human; noise reduction; patient safety; radiologist; radiology department; Review; turnaround time; workload; computer assisted diagnosis; emergency health service; hospital emergency service; procedures; radiology","Review","Scopus"
"Linna N.; Kahn C.E., Jr.","Linna, Nathaniel (57188688640); Kahn, Charles E. (57001222100)","57188688640; 57001222100","Applications of natural language processing in radiology: A systematic review","2022","International Journal of Medical Informatics","2","10.1016/j.ijmedinf.2022.104779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129891936&doi=10.1016%2fj.ijmedinf.2022.104779&partnerID=40&md5=19e79aa33a44ea756d10e89f2c166bce","Background: Recent advances in performance of natural language processing (NLP) techniques have spurred wider use and more sophisticated applications of NLP in radiology. This study systematically reviews the trends and applications of NLP in radiology within the last five years. Methods: A search of three databases of peer-reviewed journal articles and conference papers from January 1, 2016 to April 21, 2021 resulted in a total of 228 publications included in the review. Manuscripts were analyzed by several factors, including clinical application, study setting, NLP technique, and performance. Results: Of the 228 included publications, there was an overall increase in number of studies published with an increase in use of machine learning models. NLP models showed high performance: >50% of publications reported F1 > 0.91. There was variable sample size across the studies with a median of 3708 data points, most commonly radiology reports. 145 studies utilized data from a single academic center. Applications were classified as clinical (n = 87), technical (n = 66), quality improvement (n = 61), research (n = 9), and education (n = 5). Discussion: There has been a continued increase in number of studies involving NLP in radiology. Newer NLP techniques, including word embedding, deep learning, and transformers, are being applied and show improved performance. There has been growth in the interpretative and non-interpretative use of NLP techniques in radiology and has great capacity to improve patient care and delivery. Although the performance and breadth of NLP applications is impressive, there is an overall lack of high-level evidence for actual clinical application of published tools. Conclusion: NLP applications in radiology has been increasing studied and more accurate in the last 5 years. More direct clinical application and portability of the NLP pipelines is need to reach the technology's full potential. © 2022 Elsevier B.V.","Artificial Intelligence; Natural Language Processing; Radiology; Systematic Review","Data Management; Humans; Machine Learning; Natural Language Processing; Radiography; Radiology; Clinical research; Deep learning; Learning algorithms; Publishing; Radiation; Radiology; Application studies; Clinical application; Conference papers; Journal articles; Language processing techniques; Machine learning models; Natural language processing applications; Performance; Processing performance; Systematic Review; adult; artificial intelligence; deep learning; education; embedding; female; human; machine learning; male; natural language processing; patient care; pipeline; radiology; review; sample size; systematic review; total quality management; information processing; radiography; Natural language processing systems","Review","Scopus"
"Frank M.S.; Johnson J.A.","Frank, M.S. (35548712700); Johnson, J.A. (56726461400)","35548712700; 56726461400","Computerized tracking of mammography patients: Value of a radiology information system integrated with a personal-computer data base","1994","American Journal of Roentgenology","2","10.2214/ajr.163.3.8079872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028100846&doi=10.2214%2fajr.163.3.8079872&partnerID=40&md5=1e8b3085dd54f6cb179c3a6f029d4fb0","OBJECTIVE. We investigated the advantages of using a radiology information system as the primary data source for a mammographic patient-tracking system that is based on a personal-computer local-area network and that requires almost no data entry. HARDWARE AND SOFTWARE. Our mammographic data base is maintained on a file server that provides cross-platform access to both MacIntosh and IBM-compatible personal computers. Locally developed software automatically transfers mammographic data from our radiology information system to the file server's mammographic data base. The data transferred include patients' demographics (e.g., hospital identification number, address, referring physician) and the complete mammographic report. With the use of specific terminology, the need for follow-up can be automatically gleaned from the mammographic report and coded within the data base. Graphically oriented, commercially available software provides easy access to this information from any personal computer on our department's network. The software provides considerable flexibility for searching and manipulating the data without the need for customized data-base programming. Redundant data entry and associated errors are drastically reduced, as are personnel requirements for maintaining the system. Relative to most commercial radiology information systems, a personal computer facilitates the steps involved in tracking patients and obtaining highly customized analyses of the mammographic data base. The data in the mammographic data base exactly match those in the hospital's registration data and are easily transferred to other personal-computer programs for ancillary processing. CONCLUSION. This technique is ideal for departments that use a general-purpose radiology information system for mammographic reporting, yet need a more powerful but user-friendly and low-cost method for tracking their mammography patients.","","computer program; computer system; data base; human; information retrieval; information system; mammography; medical record; microcomputer; patient coding; priority journal; radiology; review","Review","Scopus"
"Neri E.; Brady A.P.; Gibaud B.; Visser J.J.; Goldberg S.N.; Pyatigorskaya N.","Neri, Emanuele (57957781200); Brady, Adrian P. (7103045676); Gibaud, Bernard (55883196100); Visser, Jacob J. (15078380500); Goldberg, S. Nahum (55663292000); Pyatigorskaya, Nadya (34969568400)","57957781200; 7103045676; 55883196100; 15078380500; 55663292000; 34969568400","ESR paper on structured reporting in radiology","2018","Insights into Imaging","134","10.1007/s13244-017-0588-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042561109&doi=10.1007%2fs13244-017-0588-8&partnerID=40&md5=23989ed0bdecfd9a110c7be521636d9b","Abstract: Structured reporting is emerging as a key element of optimising radiology’s contribution to patient outcomes and ensuring the value of radiologists’ work. It is being developed and supported by many national and international radiology societies, based on the recognised need to use uniform language and structure to accurately describe radiology findings. Standardisation of report structures ensures that all relevant areas are addressed. Standardisation of terminology prevents ambiguity in reports and facilitates comparability of reports. The use of key data elements and quantified parameters in structured reports (“radiomics”) permits automatic functions (e.g. TNM staging), potential integration with other clinical parameters (e.g. laboratory results), data sharing (e.g. registries, biobanks) and data mining for research, teaching and other purposes. This article outlines the requirements for a successful structured reporting strategy (definition of content and structure, standard terminologies, tools and protocols). A potential implementation strategy is outlined. Moving from conventional prose reports to structured reporting is endorsed as a positive development, and must be an international effort, with international design and adoption of structured reporting templates that can be translated and adapted in local environments as needed. Industry involvement is key to success, based on international data standards and guidelines. Key Points: • Standardisation of radiology report structure ensures completeness and comparability of reports. • Use of standardised language in reports minimises ambiguity. • Structured reporting facilitates automatic functions, integration with other clinical parameters and data sharing. • International and inter-society cooperation is key to developing successful structured report templates. • Integration with industry providers of radiology-reporting software is also crucial. © 2018, The Author(s).","Automation D001331; Communication D003142; Radiology standards Q000592; Radiology statistics & numerical data Q000706; Radiology trends Q000639","","Review","Scopus"
"Chng S.Y.; Tern P.J.W.; Kan M.R.X.; Cheng L.T.E.","Chng, Seo Yi (58615229400); Tern, Paul J. W. (57217354856); Kan, Matthew R. X. (58615051400); Cheng, Lionel T. E. (57688453900)","58615229400; 57217354856; 58615051400; 57688453900","Automated labelling of radiology reports using natural language processing: Comparison of traditional and newer methods","2023","Health Care Science","0","10.1002/hcs2.40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167957232&doi=10.1002%2fhcs2.40&partnerID=40&md5=63f595c7965b4eed46dbc27d7f3d7135","Automated labelling of radiology reports using natural language processing allows for the labelling of ground truth for large datasets of radiological studies that are required for training of computer vision models. This paper explains the necessary data preprocessing steps, reviews the main methods for automated labelling and compares their performance. There are four main methods of automated labelling, namely: (1) rules-based text-matching algorithms, (2) conventional machine learning models, (3) neural network models and (4) Bidirectional Encoder Representations from Transformers (BERT) models. Rules-based labellers perform a brute force search against manually curated keywords and are able to achieve high F1 scores. However, they require proper handling of negative words. Machine learning models require preprocessing that involves tokenization and vectorization of text into numerical vectors. Multilabel classification approaches are required in labelling radiology reports and conventional models can achieve good performance if they have large enough training sets. Deep learning models make use of connected neural networks, often a long short-term memory network, and are similarly able to achieve good performance if trained on a large data set. BERT is a transformer-based model that utilizes attention. Pretrained BERT models only require fine-tuning with small data sets. In particular, domain-specific BERT models can achieve superior performance compared with the other methods for automated labelling. © 2023 The Authors. Health Care Science published by John Wiley & Sons, Ltd on behalf of Tsinghua University Press.","automated labelling; machine learning; natural language processing; neural network; radiology","","Review","Scopus"
"Holder J.; Tocino I.; Facchini D.; Nardecchia N.; Staib L.; Crawley D.; Pahade J.K.","Holder, Justin (57191053644); Tocino, Irena (7003747033); Facchini, David (57218624106); Nardecchia, Nicole (57219292882); Staib, Lawrence (7005557159); Crawley, Dan (57221378942); Pahade, Jay K. (24481636200)","57191053644; 7003747033; 57218624106; 57219292882; 7005557159; 57221378942; 24481636200","Current state of radiology report release in electronic patient portals","2021","Clinical Imaging","8","10.1016/j.clinimag.2020.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098959242&doi=10.1016%2fj.clinimag.2020.12.020&partnerID=40&md5=4601bb3e087975fdd39c3d7844246084","Objective: The aim of our study is to evaluate the current practice patterns of radiology report release into electronic patient portals. Methods: A survey to assess details of radiology report release was distributed to members of The Association of Administrators in Academic Radiology across the United States. Numerical analysis was used to calculate the frequencies and percentages for the clinical site, frequency and pattern of patient portal use were calculated. Statistical analysis determined the percentages and frequencies for the clinical site, frequency and pattern of patient portal use, as well as statistical differences. Results: A total of 31 (response rate = 28%, 31/108) at least partially completed surveys were received. Most (29/31, 94%) sites reported having a patient portal available with 80% (12/15) reporting < 50% patient utilization. There were no significant (p > 0.05) geographical differences noted in percentage utilization. Seventy-eight percent (21/27) of sites reported some form of automatic radiology report release into their portal. Mean delay was 4 days (range 0–7) from report completion to portal release. No correlation (r = 2) was seen between percentage of patient utilization of portals and timing of radiology report release. Conclusion: Most academic centers across the country have patient portals, however, most of these centers report less than 50% utilization of the portals by patients. While variability in radiology report release in patient portals was noted, the majority (78%) of academic medical centers have some form of automatic report release with average delay of 4 days between report completion to portal release. © 2021 Elsevier Inc.","Electronic medical record; Patient centered care; Patient portal; Radiology reports; Radiology results","Electronics; Humans; Patient Portals; Radiography; Radiology; Surveys and Questionnaires; United States; Radiology; Surveys; Academic medical centers; Average delay; Clinical sites; Current practices; Patient portal; Radiology reports; Response rate; Statistical differences; administrative personnel; adult; case report; clinical article; electronic medical record; female; human; male; patient care; radiology; review; United States; university hospital; electronics; medical record; questionnaire; radiography; Radiation","Review","Scopus"
"Strickland N.H.","Strickland, N.H. (7006155661)","7006155661","Quality assurance in radiology: Peer review and peer feedback","2015","Clinical Radiology","45","10.1016/j.crad.2015.06.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942990597&doi=10.1016%2fj.crad.2015.06.091&partnerID=40&md5=379afece25dccbfd01f3f351f8fd138d","Peer review in radiology means an assessment of the accuracy of a report issued by another radiologist. Inevitably, this involves a judgement opinion from the reviewing radiologist. Peer feedback is the means by which any form of peer review is communicated back to the original author of the report. This article defines terms, discusses the current status, identifies problems, and provides some recommendations as to the way forward, concentrating upon the software requirements for efficient peer review and peer feedback of reported imaging studies. Radiologists undertake routine peer review in their everyday clinical practice, particularly when reporting and preparing for multidisciplinary team meetings. More formal peer review of reported imaging studies has been advocated as a quality assurance measure to promote good clinical practice. It is also a way of assessing the competency of reporting radiologists referred for investigation to bodies such as the General Medical Council (GMC). The literature shows, firstly, that there is a very wide reported range of discrepancy rates in many studies, which have used a variety of non-comparable methodologies; and secondly, that applying scoring systems in formal peer review is often meaningless, unhelpful, and can even be detrimental. There is currently a lack of electronic peer feedback system software on the market to inform radiologists of any review of their work that has occurred or to provide them with clinical outcome information on cases they have previously reported. Learning opportunities are therefore missed. Radiologists should actively engage with the medical informatics industry to design optimal peer review and feedback software with features to meet their needs. Such a system should be easy to use, be fully integrated with the radiological information and picture archiving systems used clinically, and contain a free-text comment box, without a numerical scoring system. It should form a temporary record that cannot be permanently archived. It must provide automated feedback to the original author. Peer feedback, as part of everyday reporting, should enhance daily learning for radiologists. Software requirements for everyday peer feedback differ from those needed for a formal peer review process, which might only be necessary in the setting of a formal GMC enquiry into a particular radiologist's reporting competence, for example. © 2015 The Royal College of Radiologists. Published by Elsevier Ltd. All rights reserved.","","Clinical Competence; Feedback, Psychological; Forecasting; Humans; Interprofessional Relations; Observer Variation; Peer Review; Quality Assurance, Health Care; Radiology; aircraft accident; anesthesia; aviation; computer program; device failure; diagnostic accuracy; diagnostic error; diagnostic procedure; electronic medical record; employment; evidence based practice; expert witness; feedback system; good clinical practice; health care quality; hindsight bias; human; learning; malpractice; medical informatics; patient safety; peer review; priority journal; private practice; professional competence; professional development; quality control; radiologist; radiology; Review; scoring system; teleradiology; total quality management; adaptive behavior; clinical competence; forecasting; observer variation; peer review; public relations; radiology; standards; trends","Review","Scopus"
